server_id,user_id
BBG00JQDGX10,NASDAQ:INCR
BBG00G3CHDT6,NYSE:SGY
BBG00D3CHRC0,NYSE:EVHC
BBG00CTY3QD2,NASDAQ:BIVV
BBG00BYQML90,NYSE:SWFT
BBG009CWL262,NASDAQ:BUFF
BBG008S3V4G5,NYSE:CSRA
BBG008CV00W4,NYSE:CJES
BBG007X5DV21,NASDAQ:AVXS
BBG0077WYXF0,NYSE:CPGX
BBG0071D60V3,NYSE:FMSA
BBG006QRCDZ8,NYSE:NRF
BBG00688QWF5,NYSE:BXLT
BBG005Q2KYS8,NYSE:RICE
BBG005NTYL78,NASDAQ:JUNO
BBG005KSWVW5,NYSE:RSPP
BBG004F0HL81,NYSE:CST
BBG004DF9V32,NYSE:ATHL
BBG004BDQXV5,NASDAQ:HAWK
BBG003QPR8Z4,NYSE:PF
BBG003FSTZ60,NYSE:DYN
BBG003FHPBQ9,NYSE:EVHC~1
BBG0038K9G41,NASDAQ:LVNTA
BBG003641015,NYSE:ADT
BBG0035B5FC1,NASDAQ:LNCO
BBG003444577,NYSE:BKW
BBG002137DN6,NASDAQ:FMI
BBG002052WB8,NASDAQ:KYTH
BBG001Z7M393,NASDAQ:ZU
BBG001YMS0B8,NASDAQ:KRFT
BBG001YDQ878,NYSE:CJES~1
BBG001QVVHV4,NYSE:BCEI
BBG001PJFKH9,NYSE:NSM
BBG001KLTDM4,NASDAQ:KITE
BBG001J1C1L5,NYSE:FSL
BBG001HTYG57,NYSE:MULE
BBG001D8R8J8,NYSE:XLS
BBG001BPFT54,NASDAQ:SCTY
BBG000WF8JZ2,NASDAQ:EGC
BBG000WCRGZ4,NASDAQ:TFM
BBG000W4G3B9,NYSE:ST
BBG000VYNC17,NYSE:GPT
BBG000TWC2V5,NYSE:MJN
BBG000TBYDT6,NASDAQ:ANAC
BBG000RQW961,NASDAQ:SNI
BBG000R7SPX2,NYSE:SWI
BBG000R7GX40,NYSE:CYS
BBG000R57L13,NASDAQ:RVBD
BBG000R498S4,NYSE:INVN
BBG000R33RF4,NASDAQ:RCPT
BBG000R134B3,NASDAQ:ENTR
BBG000QW8XR0,NASDAQ:WBMD
BBG000QS8XF2,NYSE:VR
BBG000QRFNK2,NYSE:PAY
BBG000QMLJS7,NASDAQ:RLYP
BBG000QMBKT4,NASDAQ:QLIK
BBG000QDST26,NYSE:ITC
BBG000QDBSK6,NYSE:N
BBG000Q9HH23,NYSE:LNKD
BBG000Q7D769,NYSE:DCT
BBG000Q5VD15,NASDAQ:HERO
BBG000Q5C256,NYSE:DWA
BBG000PYZSR8,NASDAQ:CHTR
BBG000PX4P81,NASDAQ:AEGR
BBG000PTXBV3,NYSE:HTS
BBG000PRTQ30,NYSE:BMR
BBG000PMP096,NYSE:TMH
BBG000PM7GJ0,NYSE:ANR
BBG000PLXQQ3,NYSE:TRW
BBG000PJ88D0,NYSE:GTI
BBG000PCNTM2,NASDAQ:STRZA
BBG000PB7F79,NYSE:DRC
BBG000P4BQM9,NYSE:SPB
BBG000P1F8Q7,NYSE:HSP
BBG000MZFMS2,NASDAQ:SLXP
BBG000MGLM70,NASDAQ:CYNO
BBG000M4SW14,NYSE:IOC
BBG000LBGTS0,NYSE:MCP
